Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,59.29,110.75,7.15,18.62,19.56,17.39,14.17,1.33,15.19,1.96,2.96,,,0.53,0.46,26.64,75.55,1.5,156.63,0.0,0.0,114.82,859.84,-0.47
2024-01-02,46.35,90.18,7.71,16.56,19.8,16.99,12.66,1.13,15.45,1.89,3.09,,,0.39,0.43,27.09,75.8,1.31,186.39,0.0,0.0,100.81,858.83,-0.48
2024-01-03,54.14,106.41,9.39,18.44,22.62,16.91,13.0,1.07,14.55,1.62,3.48,,,0.42,0.52,27.1,79.37,1.21,155.9,0.0,0.0,75.69,857.45,-0.48
2024-01-04,47.89,92.73,10.56,21.32,26.41,17.26,13.55,1.19,13.17,1.96,6.29,,,0.4,0.47,27.16,83.49,1.15,175.4,0.01,0.0,80.65,857.29,-0.48
2024-01-05,38.64,81.63,8.9,18.12,21.96,18.22,14.0,0.97,13.19,1.8,7.0,,,0.46,0.41,27.44,81.54,1.54,155.04,0.0,0.0,87.78,857.11,-0.46
2024-01-06,24.76,56.71,6.1,15.9,18.47,15.02,14.41,1.43,13.41,1.33,2.91,,,0.42,0.38,27.37,84.14,1.95,128.75,0.0,0.0,65.92,856.86,-0.45
2024-01-07,26.45,56.52,9.51,19.52,25.06,27.24,13.57,1.07,13.22,1.19,2.13,,,0.37,0.32,24.51,88.8,1.83,130.85,0.19,0.1,51.96,856.72,-0.45
2024-01-08,32.79,65.18,13.36,26.78,31.06,17.88,13.92,1.36,14.16,1.18,2.1,,,0.43,0.37,27.21,88.39,1.35,150.18,0.1,0.06,53.12,858.17,-0.47
2024-01-09,38.77,79.12,5.41,14.68,16.96,16.21,13.03,1.3,18.22,1.18,1.8,,,0.43,0.37,27.77,82.95,1.57,141.36,0.0,0.0,124.64,858.97,-0.46
2024-01-10,42.83,87.55,11.92,21.08,30.07,13.96,13.6,1.14,22.81,1.66,5.12,,,0.38,0.36,27.77,80.15,1.4,157.4,0.0,0.0,139.27,858.81,-0.47
2024-01-11,45.95,95.91,12.33,21.52,30.32,14.86,15.07,1.05,20.57,1.64,4.04,,,0.43,0.4,27.6,78.92,1.47,148.36,0.0,0.0,146.16,859.11,-0.47
2024-01-12,52.51,107.95,11.71,19.22,27.48,18.03,14.19,1.07,18.72,1.88,3.72,,,0.46,0.45,27.62,81.13,1.2,151.44,0.0,0.0,140.09,858.84,-0.48
2024-01-13,74.43,148.88,11.53,18.77,26.68,16.7,14.65,1.02,18.06,1.7,3.69,,,0.47,0.48,27.09,83.7,1.13,155.88,0.0,0.0,131.85,858.8,-0.48
2024-01-14,114.38,209.42,14.42,21.48,31.03,19.22,16.28,1.09,15.7,4.57,4.15,,,0.62,0.64,26.45,80.19,0.99,146.32,0.0,0.0,136.61,858.28,-0.48
